Date,Temperature,Rainfall,CO2
2015-01-01,26.4901424590337,115.82063894086093,392.074792615673
2015-02-01,24.60201381917552,81.81225090410521,399.2728036525579
2015-03-01,26.97667905968023,128.05588621872198,405.89020892425833
2015-04-01,29.619509737291303,71.96297874415438,409.9180561433819
2015-05-01,24.364766766586293,111.73714187600541,389.6777081983498
2015-06-01,24.381622742597838,143.80911251619958,398.755827977725
2015-07-01,29.83847878265663,80.18927349738624,397.7715552917518
2015-08-01,27.419951246282256,88.67404540794456,396.4078841448511
2015-09-01,23.72603062370775,101.99302730175282,421.0158869406261
2015-10-01,26.778940634959575,89.93048691767602,407.83132971465153
2015-11-01,23.77781414845337,68.98673137867735,391.5928411289185
2015-12-01,23.78768468886906,101.37125949612054,413.80046821004356
2016-01-01,25.92756748696701,78.7539257254779,426.26357877684904
2016-02-01,19.478646660984587,109.47184861270364,415.78683747946104
2016-03-01,20.060540620107957,81.61151531532394,390.68865328163633
2016-04-01,23.565238252613216,130.9986881003508,401.4601802797408
2016-05-01,22.230414202021937,84.33493415327526,419.39180056749643
2016-06-01,26.228456283500105,93.55876967588648,400.0661624866694
2016-07-01,22.57844878183973,116.27034434739339,412.00121949154635
2016-08-01,21.082416627086562,75.3827136713209,415.7295338116043
2016-09-01,29.733080760546173,104.54919869208258,399.134056628757
2016-10-01,24.67561227501098,126.14285508564856,408.2282758511467
2016-11-01,25.572332513223433,67.85033530877544,376.83102407830086
2016-12-01,21.11231006320837,103.69267717064608,399.41998913287557
2017-01-01,23.770213170962265,105.19765588496847,407.5583520995138
2017-02-01,25.75293583635649,115.6364574355462,398.0263698610238
2017-03-01,21.983994057649056,75.26098578243835,427.2484827872155
2017-04-01,26.580875567642057,73.59086773831447,397.0431240355197
2017-05-01,23.6686721655377,110.43883131233795,407.3642610153831
2017-06-01,24.61231370860336,105.93969346466372,413.49227972244074
2017-07-01,23.699081843984075,105.00985700691753,427.0177749074679
2017-08-01,31.077842956888155,106.9289641899395,398.6665885722392
2017-09-01,25.49732345183662,86.39950556843019,425.0770156728101
2017-10-01,22.381489061871797,104.64507394322007,413.96787682868325
2017-11-01,28.03906330773814,105.86144946597362,404.4706277752348
2017-12-01,21.925704344204583,85.71297163947264,419.3269170955739
2018-01-01,26.23163280182099,137.31549022289514,417.11664737590274
2018-02-01,19.742838367856475,109.47665841823576,409.54404971580703
2018-03-01,21.654097315489583,76.17393005594703,416.6644074045221
2018-04-01,26.246045892481323,113.1310721726766,412.53341865323114
2018-05-01,27.88766864754926,80.50636659545357,417.94189614158813
2018-06-01,26.203180473822012,115.74169207484904,423.84819750151297
2018-07-01,25.358937505776456,123.17191158014808,433.50722698498294
2018-08-01,24.819377988862385,83.5863536329658,405.68907190248785
2018-09-01,21.303929827217047,119.26752258488644,439.81772870454586
2018-10-01,23.596769895824277,108.25561853872996,399.3866850299851
2018-11-01,24.391192930818118,116.4412031998898,417.80988014208117
2018-12-01,28.9612826450433,137.93585965307895,425.63107122450964
2019-01-01,26.837577557781014,95.09223767994258,422.97798590424105
2019-02-01,20.534408945676507,84.9252767128502,414.3612400959117
2019-03-01,26.81258804263817,82.20971140748954,418.9271808577718
2019-04-01,24.701896015893908,83.68379430069123,416.4985620819831
2019-05-01,23.843183578914058,98.45796581171791,415.9550919263562
2019-06-01,27.72578516904361,106.82303949633288,430.76492853323543
2019-07-01,29.000561592697938,105.53381598660039,426.25923048990256
2019-08-01,28.718210105247756,116.54366498072048,416.18014774487244
2019-09-01,23.42352390092032,100.26003783755814,432.52541051903836
2019-10-01,25.030346065723666,129.07068154314635,427.0225750406989
2019-11-01,26.968580210177077,94.70686333524088,432.4983690875493
2019-12-01,28.91823202002254,154.40338333179238,431.0862043856227
2020-01-01,24.570880647808668,112.51334695530012,416.9201339243927
2020-02-01,25.468233154042164,82.85684887167434,420.0284416988706
2020-03-01,22.723011884704604,78.58215003877775,433.52335621929984
2020-04-01,22.47020365716975,109.64944830486371,432.5742908896288
2020-05-01,28.513207719283432,95.53074429348298,426.68174036287957
2020-06-01,30.161157060502386,114.28000988184183,428.4841982028357
2020-07-01,25.89321333273799,109.4647524914709,440.50774139485907
2020-08-01,29.13664911384414,98.54342174686255,422.23554661584336
2020-09-01,27.227765218000044,83.06412563863191,434.04240238312894
2020-10-01,24.224304601730847,69.70305550628271,426.9696701143165
2020-11-01,27.260657404760536,91.06970095865958,427.23495267361017
2020-12-01,30.807387010322277,117.12797588646944,440.81970129298116
2021-01-01,26.10260591628359,104.28187488260409,438.5062643302164
2021-02-01,30.920821723744538,75.08522442576023,438.8073652675694
2021-03-01,18.38446216672236,103.46361851702363,444.1472250463332
2021-04-01,28.726211714806343,107.70634759457674,431.72264345834435
2021-05-01,26.53845212908426,82.32285127597734,438.7523028221933
2021-06-01,25.39709559566122,103.07450211891056,429.25027361053606
2021-07-01,26.586206699354406,101.16417436892,436.0147727685819
2021-08-01,20.365024348634297,77.14059404338754,431.8918467672475
2021-09-01,25.68552215161351,107.15574720696567,434.58340502807846
2021-10-01,27.432682252350364,111.21569052736469,439.98518369974727
2021-11-01,30.811833394728747,121.66102486350553,426.2715746802703
